character,dialogue
Monica, Anlatacak bir şey yok! O sadece birlikte çalıştığım bir adam!
Joey," Hadi ama, o adamla dışarı çıkıyorsun! Onunla ilgili bir sorun olmalı!"
Chandler," Tamam Joey, nazik ol. Peki kamburu var mı? Kamburu ve peruk?"
Phoebe," Bekle, tebeşir yiyor mu?"
Phoebe," Sadece, çünkü Carl ile yaşadıklarımı yaşamasını istemiyorum- oh!"
Monica," Tamam, herkes rahatlasın. Bu bir randevu bile değil. Sadece akşam yemeğine çıkan ve seks yapmayan iki kişi."
Chandler, Bana bir randevu gibi geliyor.
Chandler," Tamam, liseye geri döndüm, kafeteryanın ortasında duruyorum ve tamamen çıplak olduğumu fark ediyorum."
Hepsi," Ah, evet. O rüyayı gördüm."
Chandler, Sonra aşağı bakıyorum ve orada bir telefon olduğunu fark ediyorum... orada.
Joey, Bunun yerine...?
Chandler, Doğru.
Joey, Hiç böyle bir rüya görmedim.
Phoebe, Hayır.
Chandler," Birdenbire telefon çalmaya başlıyor. Şimdi ne yapacağımı bilmiyorum, herkes bana bakmaya başlıyor."
Monica, Ve daha önce sana bakmıyorlar mıydı?!
Chandler," Sonunda, açmam gerektiğini düşünüyorum ve annemmiş, ki bu çok-çok garip, çünkü- beni hiç aramıyor!"
Ross,  Merhaba.
Joey," Bu adam merhaba diyor, kendimi öldürmek istiyorum."
Monica," İyi misin, tatlım?"
Ross," Sanki biri boğazıma uzanmış, ince bağırsağımı tutmuş, ağzımdan çıkarmış ve boynuma bağlamış gibi hissediyorum..."
Chandler, Kurabiye mi?
Monica,  Carol bugün eşyalarını taşıdı.
Joey, Ohh.
Monica,  Sana biraz kahve getireyim.
Ross, Teşekkürler.
Phoebe, Ooh! Oh!
Ross," Hayır, hayır yapma! Auramı temizlemeyi bırak! Hayır, sadece auramı rahat bırak, tamam mı?"
Phoebe, Tamam! Bulanık ol!
Ross," İyi olacağım, tamam mı? Gerçekten, herkes. Umarım çok mutlu olur."
Monica," Hayır, sen değilsin."
Ross," Hayır, değilim, cehenneme kadar yolu var, beni terk etti!"
Joey, Ve sen onun lezbiyen olduğunu hiç bilmiyordun...
Ross," Hayır!! Tamam mı?! Neden herkes buna takılıp kalıyor? O bilmiyordu, ben nasıl bileyim?"
Chandler, Bazen lezbiyen olmayı isterdim...  Bunu yüksek sesle mi söyledim?
Ross," Dün gece anneme ve babama söyledim, gayet iyi karşıladılar."
Monica," Ah gerçekten, yani sabahın 3'ünde hıçkırarak ağlayan bir kadından aldığım o histerik telefon görüşmesi neydi? Yanlış numara mı?"
Ross, Özür dilerim.
Joey," Tamam Ross, bak. Şu anda çok fazla acı hissediyorsun. Öfkelisin. Acı çekiyorsun. Sana cevabın ne olduğunu söyleyebilir miyim?"
Joey," Striptiz kulübü! Hadi, bekarsın! Biraz hormon al!"
Ross," Bekar olmak istemiyorum, tamam mı? Sadece... Sadece- Sadece tekrar evlenmek istiyorum!"
Chandler, Ve ben sadece bir milyon dolar istiyorum!
Monica, Rachel?!
Rachel," Aman Tanrım, merhaba Monica! Tanrıya şükür! Az önce binanıza gittim ve orada değildin ve sonra büyük bir çekiçle bu adam burada olabileceğini söyledi ve sen de buradasın, sen!"
Garson, Sana biraz kahve alabilir miyim?
Monica,"  Kafeinsiz.  Tamam, herkes, bu Rachel, bir başka Lincoln Lisesi kurtulanı.  Herkes burada, bu Chandler, Phoebe, Joey ve - kardeşim Ross'u hatırlıyor musun?"
Rachel," Merhaba, tabii!"
Ross, Merhaba.
Monica," Şimdi bize söylemek istiyorsun, yoksa dört ıslak nedimeyi mi bekliyoruz?"
Rachel," Aman Tanrım... düğünden yaklaşık yarım saat önce başladı. Tüm hediyeleri koyduğumuz odadaydım ve bu sos teknesine bakıyordum. Bu gerçekten muhteşem Lamauge sos teknesi. Birdenbire -  Sweet 'n' Lo? - Barry'den daha çok bu sos teknesinden tahrik olduğumu fark ettim! Ve sonra gerçekten korktum ve o zaman anladım: Barry, Bay Patates Kafa'ya ne kadar benziyor. Bilirsin, yani, her zaman tanıdık geldiğini biliyordum ama... Neyse, oradan çıkmam gerekiyordu ve 'Bunu neden yapıyorum ve bunu kimin için yapıyorum?' diye düşünmeye başladım.  Neyse, nereye gideceğimi bilmiyordum ve biliyorum ki sen ve ben biraz uzaklaştık, ama şehirde yaşayan tanıdığım tek kişi sensin."
Monica, Düğüne davet edilmeyen.
Rachel," Ooh, bunun bir sorun olmayacağını umuyordum..."
Monica, Şimdi sanırım ona büyük borulu org aldı ve o bundan pek memnun değil.
Chandler,  Ton balığı mı yumurta salatası mı? Karar ver!
Ross,  Christine ne yiyorsa onu yiyeceğim.
Rachel,"  Baba, ben sadece... Onunla evlenemem! Üzgünüm. Onu sevmiyorum. tamam, benim için önemli!"
Phoebe," Saçımı bırakırsam, başım düşecek."
Chandler,"  Ooh, o pantolonu giymemeliydi."
Joey, Bence onu merdivenlerden aşağı it.
Rachel," Hadi baba, beni dinle! Sanki, sanki, hayatım boyunca herkes bana hep 'Sen bir ayakkabısın! Sen bir ayakkabısın, sen bir ayakkabısın, sen bir ayakkabısın!' dedi. Ve bugün durdum ve dedim ki, 'Ya ayakkabı olmak istemezsem? Ya bir çanta olmak istersem, bilirsin ya? Ya da bir şapka! Hayır, senden bana şapka almanı istediğimi söylemiyorum, ben bir ha- Bu bir metafor, Baba!"
Ross, Nerede sorun yaşayacağını görebilirsin.
Rachel," Bak Baba, bu benim hayatım. Belki de sadece Monica ile burada kalırım."
Monica, Sanırım Monica ile burada kimin kalacağını belirledik...
Rachel," Belki de bu benim kararım. Belki de parana ihtiyacım yok. Bekle!! Bekle, belki dedim!!"
